科目名, 分野, K-Number
情報基礎１(14), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(25), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(02), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(03), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(01), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(16), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(13), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(19), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(26), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(14), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(18), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(06), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(05), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(08), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(17), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(12), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(21), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎２, 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎２(GIGA/GG/GI), 基盤科目-情報技術基礎科目, FPE-CO-03102-712-60
情報基礎２(GIGA/GG/GI), 基盤科目-情報技術基礎科目, FPE-CO-03102-712-60
情報基礎２, 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎２, 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎２, 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎２, 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎２, 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
システムプログラミング基礎, 基盤科目-情報技術基礎科目, FPE-CO-03102-211-60
オブジェクト指向プログラミング基礎【学期前半】, 基盤科目-情報技術基礎科目, FPE-CO-03103-211-60
オブジェクト指向プログラミング基礎, 基盤科目-情報技術基礎科目, FPE-CO-03103-211-60
スクリプト言語プログラミング基礎, 基盤科目-情報技術基礎科目, FPE-CO-03102-211-60
スクリプト言語プログラミング基礎(GIGA/GG/GI), 基盤科目-情報技術基礎科目, FPE-CO-03102-312-60
心身ウェルネス【学期後半】(グループH：クラス23～26), 基盤科目-ウェルネス科目, FPE-CO-13201-211-59
心身ウェルネス【学期後半】(グループF：クラス17～19), 基盤科目-ウェルネス科目, FPE-CO-13201-211-59
心身ウェルネス【学期前半】(グループD：クラス10～13), 基盤科目-ウェルネス科目, FPE-CO-13201-211-59
心身ウェルネス【学期前半】(グループC：クラス07～09,29), 基盤科目-ウェルネス科目, FPE-CO-13201-211-59
心身ウェルネス【学期前半】(グループB：クラス04～06,28), 基盤科目-ウェルネス科目, FPE-CO-13201-211-59
心身ウェルネス【学期後半】(グループG：クラス20～22), 基盤科目-ウェルネス科目, FPE-CO-13201-211-59
心身ウェルネス【学期後半】(グループE：クラス14～16), 基盤科目-ウェルネス科目, FPE-CO-13201-211-59
心身ウェルネス【学期前半】(グループA：クラス01～03,27), 基盤科目-ウェルネス科目, FPE-CO-13201-211-59
体育１(ソフトコース), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(09), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(05), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(08), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(22), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(16), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(27)(GIGA/GG/GI), 基盤科目-ウェルネス科目, FPE-CO-13211-412-59
体育１(21）, 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(20), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(26), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(18), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(07), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(12), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(19), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(02), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(13), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(03), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(24), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(11), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(23), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(06), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(17), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(14), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(25), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(15), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(01), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(10), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(ソフトコース), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育１(04), 基盤科目-ウェルネス科目, FPE-CO-13211-411-59
体育２, 基盤科目-ウェルネス科目, FPE-CO-03223-411-59
体育３, 基盤科目-ウェルネス科目, FPE-CO-03223-411-59
体育４, 基盤科目-ウェルネス科目, FPE-CO-03233-411-59
体育５, 基盤科目-ウェルネス科目, FPE-CO-03233-411-59
体育２～５(野外スポーツ), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(テニス), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(バスケットボール), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(ゴルフ), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(自律訓練法), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(自律訓練法), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(食事学（食育）), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(リズミックトレーニング)(GIGA/GG/GI), 基盤科目-ウェルネス科目, FPE-CO-03243-412-59
体育２～５(ヨガ), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(ジョギング), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(ゴルフ), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(フットサル), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(空手), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(バスケットボール), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(合気道), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(合気道), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(剣道), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(食事学（アスリートと食事）), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(テニス), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(こころのエクササイズ), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
